,Media,Year,IMDB,Votes,Restriction,Genre1,Genre2,Genre3,Type
40,Léon: The Professional,   1 9 9 4  ,8.5,1015947,R,Action,Crime,Drama            ,Movie
41,Pirates of the Caribbean: The Curse of the Black Pearl,   2 0 0 3  ,8,1005246,PG-13,Action,Adventure,Fantasy            ,Movie
42,Goodfellas,   1 9 9 0  ,8.7,1000216,R,Biography,Crime,Drama            ,Movie
43,Kill Bill: Vol. 1,   2 0 0 3  ,8.1,984369,R,Action,Crime,Thriller            ,Movie
44,WALL·E,   2 0 0 8  ,8.4,981770,G,Animation,Adventure,Family            ,Movie
45,Terminator 2: Judgment Day,   1 9 9 1  ,8.5,981465,R,Action,Sci-Fi            ,,Movie
46,The Usual Suspects,   1 9 9 5  ,8.5,975780,R,Crime,Mystery,Thriller            ,Movie
47,Braveheart,   1 9 9 5  ,8.3,946814,R,Biography,Drama,History            ,Movie
48,Star Wars: Episode VI - Return of the Jedi,   1 9 8 3  ,8.3,934272,PG,Action,Adventure,Fantasy            ,Movie
49,Finding Nemo,   2 0 0 3  ,8.1,934202,G,Animation,Adventure,Comedy            ,Movie
50,The Shawshank Redemption,   1 9 9 4  ,9.3,2297597,R,Drama            ,,,Movie
51,The Dark Knight,   2 0 0 8  ,9,2261822,PG-13,Action,Crime,Drama            ,Movie
52,Inception,   2 0 1 0  ,8.8,2023823,PG-13,Action,Adventure,Sci-Fi            ,Movie
53,Fight Club,   1 9 9 9  ,8.8,1821262,R,Drama            ,,,Movie
54,Pulp Fiction,   1 9 9 4  ,8.9,1793933,R,Crime,Drama            ,,Movie
55,Forrest Gump,   1 9 9 4  ,8.8,1770394,PG-13,Drama,Romance            ,,Movie
56,Game of Thrones,   2 0 1 1-2 0 1 9  ,9.3,1717705,TV-MA,Action,Adventure,Drama            ,Series
57,The Matrix,   1 9 9 9  ,8.7,1644803,R,Action,Sci-Fi            ,,Movie
58,The Lord of the Rings: The Fellowship of the Ring,   2 0 0 1  ,8.8,1630944,PG-13,Action,Adventure,Drama            ,Movie
59,The Lord of the Rings: The Return of the King,   2 0 0 3  ,8.9,1615184,PG-13,Action,Adventure,Drama            ,Movie
60,The Godfather,   1 9 7 2  ,9.2,1585686,R,Crime,Drama            ,,Movie
61,The Dark Knight Rises,   2 0 1 2  ,8.4,1492004,PG-13,Action,Adventure            ,,Movie
62,Interstellar,   2 0 1 4  ,8.6,1469639,PG-13,Adventure,Drama,Sci-Fi            ,Movie
63,The Lord of the Rings: The Two Towers,   2 0 0 2  ,8.7,1459892,PG-13,Action,Adventure,Drama            ,Movie
64,Se7en,   1 9 9 5  ,8.6,1415092,R,Crime,Drama,Mystery            ,Movie
65,Breaking Bad,   2 0 0 8-2 0 1 3  ,9.5,1406342,TV-MA,Crime,Drama,Thriller            ,Series
66,Django Unchained,   2 0 1 2  ,8.4,1329472,R,Drama,Western            ,,Movie
67,Gladiator,   2 0 0 0  ,8.5,1317748,R,Action,Adventure,Drama            ,Movie
68,Batman Begins,   2 0 0 5  ,8.2,1287848,PG-13,Action,Adventure            ,,Movie
69,The Avengers,   2 0 1 2  ,8,1246863,PG-13,Action,Adventure,Sci-Fi            ,Movie
70,The Silence of the Lambs,   1 9 9 1  ,8.6,1245696,R,Crime,Drama,Thriller            ,Movie
71,Inglourious Basterds,   2 0 0 9  ,8.3,1240302,R,Adventure,Drama,War            ,Movie
72,Saving Private Ryan,   1 9 9 8  ,8.6,1213448,R,Drama,War            ,,Movie
73,Star Wars: Episode IV - A New Hope,   1 9 7 7  ,8.6,1211607,PG,Action,Adventure,Fantasy            ,Movie
74,Schindler's List,   1 9 9 3  ,8.9,1192410,R,Biography,Drama,History            ,Movie
75,The Departed,   2 0 0 6  ,8.5,1168367,R,Crime,Drama,Thriller            ,Movie
76,The Prestige,   2 0 0 6  ,8.5,1166030,PG-13,Drama,Mystery,Sci-Fi            ,Movie
77,The Wolf of Wall Street,   2 0 1 3  ,8.2,1153560,R,Biography,Crime,Drama            ,Movie
78,Star Wars: Episode V - The Empire Strikes Back,   1 9 8 0  ,8.7,1139862,PG,Action,Adventure,Fantasy            ,Movie
79,The Green Mile,   1 9 9 9  ,8.6,1123080,R,Crime,Drama,Fantasy            ,Movie
80,Memento,   2 0 0 0  ,8.4,1107818,R,Mystery,Thriller            ,,Movie
81,The Godfather: Part II,   1 9 7 4  ,9,1107868,R,Crime,Drama            ,,Movie
82,Avatar,   2 0 0 9  ,7.8,1106231,PG-13,Action,Adventure,Fantasy            ,Movie
83,Shutter Island,   2 0 1 0  ,8.2,1106162,R,Mystery,Thriller            ,,Movie
84,American Beauty,   1 9 9 9  ,8.3,1055121,R,Drama            ,,,Movie
85,Back to the Future,   1 9 8 5  ,8.5,1036912,PG,Adventure,Comedy,Sci-Fi            ,Movie
86,Titanic,   1 9 9 7  ,7.8,1029275,PG-13,Drama,Romance            ,,Movie
87,Guardians of the Galaxy,   2 0 1 4  ,8,1029214,PG-13,Action,Adventure,Comedy            ,Movie
88,American History X,   1 9 9 8  ,8.5,1020440,R,Drama            ,,,Movie
89,V for Vendetta,   2 0 0 5  ,8.2,1016263,R,Action,Drama,Sci-Fi            ,Movie
90,Léon: The Professional,   1 9 9 4  ,8.5,1015947,R,Action,Crime,Drama            ,Movie
91,Pirates of the Caribbean: The Curse of the Black Pearl,   2 0 0 3  ,8,1005246,PG-13,Action,Adventure,Fantasy            ,Movie
92,Goodfellas,   1 9 9 0  ,8.7,1000216,R,Biography,Crime,Drama            ,Movie
93,Kill Bill: Vol. 1,   2 0 0 3  ,8.1,984369,R,Action,Crime,Thriller            ,Movie
94,WALL·E,   2 0 0 8  ,8.4,981770,G,Animation,Adventure,Family            ,Movie
95,Terminator 2: Judgment Day,   1 9 9 1  ,8.5,981465,R,Action,Sci-Fi            ,,Movie
96,The Usual Suspects,   1 9 9 5  ,8.5,975780,R,Crime,Mystery,Thriller            ,Movie
97,Braveheart,   1 9 9 5  ,8.3,946814,R,Biography,Drama,History            ,Movie
98,Star Wars: Episode VI - Return of the Jedi,   1 9 8 3  ,8.3,934272,PG,Action,Adventure,Fantasy            ,Movie
99,Finding Nemo,   2 0 0 3  ,8.1,934202,G,Animation,Adventure,Comedy            ,Movie
100,The Shawshank Redemption,   1 9 9 4  ,9.3,2297597,R,Drama            ,,,Movie
101,The Dark Knight,   2 0 0 8  ,9,2261822,PG-13,Action,Crime,Drama            ,Movie
102,Inception,   2 0 1 0  ,8.8,2023823,PG-13,Action,Adventure,Sci-Fi            ,Movie
103,Fight Club,   1 9 9 9  ,8.8,1821262,R,Drama            ,,,Movie
104,Pulp Fiction,   1 9 9 4  ,8.9,1793933,R,Crime,Drama            ,,Movie
105,Forrest Gump,   1 9 9 4  ,8.8,1770394,PG-13,Drama,Romance            ,,Movie
106,Game of Thrones,   2 0 1 1-2 0 1 9  ,9.3,1717705,TV-MA,Action,Adventure,Drama            ,Series
107,The Matrix,   1 9 9 9  ,8.7,1644803,R,Action,Sci-Fi            ,,Movie
108,The Lord of the Rings: The Fellowship of the Ring,   2 0 0 1  ,8.8,1630944,PG-13,Action,Adventure,Drama            ,Movie
109,The Lord of the Rings: The Return of the King,   2 0 0 3  ,8.9,1615184,PG-13,Action,Adventure,Drama            ,Movie
110,The Godfather,   1 9 7 2  ,9.2,1585686,R,Crime,Drama            ,,Movie
111,The Dark Knight Rises,   2 0 1 2  ,8.4,1492004,PG-13,Action,Adventure            ,,Movie
112,Interstellar,   2 0 1 4  ,8.6,1469639,PG-13,Adventure,Drama,Sci-Fi            ,Movie
113,The Lord of the Rings: The Two Towers,   2 0 0 2  ,8.7,1459892,PG-13,Action,Adventure,Drama            ,Movie
114,Se7en,   1 9 9 5  ,8.6,1415092,R,Crime,Drama,Mystery            ,Movie
115,Breaking Bad,   2 0 0 8-2 0 1 3  ,9.5,1406342,TV-MA,Crime,Drama,Thriller            ,Series
